moosh,out,n
mg_cholesterol_mg_sodium_g,fiber,51
this_is_going_to_be,a,51
saturated_mg_cholesterol_mg_sodium,g,50
authority_of_new_york_and,new,48
fat_mg_cholesterol_g_protein,g,48
it_will_be_interesting_to,see,48
of_new_york_and_new,jersey,48
port_authority_of_new_york,and,48
the_port_authority_of_new,york,47
do_not_get_me_wrong,i,46
for_the_first_time_in,a,46
the_university_of_chicago_chicago,illinois,44
department_of_health_and_human,services,42
fat_g_saturated_fat_mg,cholesterol,42
can_not_wait_to_see,what,41
for_the_first_time_in,years,41
i_do_not_think_i,have,41
the_end_of_the_day,i,41
i_do_not_know_about,you,39
i_do_not_know_how,to,39
the_centers_for_disease_control,and,39
at_the_end_of_the,month,38
for_the_rest_of_my,life,38
g_saturated_fat_mg_cholesterol,g,38
secretary_of_state_hillary_rodham,clinton,38
and_i_can_not_wait,to,37
at_the_other_end_of,the,37
i_am_going_to_try,to,37
this_is_not_the_first,time,37
for_the_first_time_since,the,36
i_do_not_know_if,it,36
mg_cholesterol_g_protein_g,carbohydrate,36
respond_to_a_request_for,comment,36
and_i_do_not_want,to,35
bar_reservations_and_credit_cards,accepted,35
by_the_end_of_the,day,35
did_not_respond_to_requests,for,35
full_bar_reservations_and_credit,cards,35
saturated_fat_mg_cholesterol_g,protein,35
spoke_on_condition_of_anonymity,because,35
there_is_no_such_thing,as,35
all_you_need_to_do,is,34
do_not_have_to_worry,about,34
do_not_know_about_you,but,34
g_fat_g_saturated_fat,mg,34
i_think_i_am_going,to,34
in_the_first_three_months,of,34
it_does_not_have_to,be,34
not_going_to_be_able,to,34
the_first_three_months_of,the,34
the_president_of_the_united,states,34
free_and_open_to_the,public,33
let_me_know_what_you,think,33
pm_april_in_the_block,of,33
thought_it_would_be_fun,to,33
as_far_as_i_am,concerned,32
chicago_chicago_illinois_incorporated_in,item,32
cholesterol_g_protein_g_carbohydrate,g,32
faces_up_to_years_in,prison,32
for_those_of_you_who,are,32
i_am_really_looking_forward,to,32
i_can_not_tell_you,how,32
larceny_a_larceny_was_reported,at,32
of_chicago_chicago_illinois_incorporated,in,32
university_of_chicago_chicago_illinois,incorporated,32
you_do_not_have_to,be,32
first_three_months_of_the,year,31
for_the_first_time_in,my,31
for_the_rest_of_the,day,31
the_first_time_in_my,life,31
what_are_you_going_to,do,31
but_i_am_not_going,to,30
fake_fake_fake_fake_fake,fake,30
i_am_not_the_only,one,30
if_you_do_not_want,to,30
it_has_nothing_to_do,with,30
of_the_postdispatch_contributed_to,this,30
the_fact_of_the_matter,is,30
the_postdispatch_contributed_to_this,report,30
to_be_a_part_of,the,30
yearold_resident_of_the_block,of,30
and_at_the_end_of,the,29
but_at_the_same_time,i,29
but_i_do_not_want,to,29
by_the_end_of_the,month,29
for_those_of_you_who,have,29
from_the_point_of_view,of,29
g_protein_g_fiber_mg,sodium,29
incorporated_in_item_b_above,pp,29
the_state_department_of_environmental,protection,29
a_lot_of_work_to,do,28
a_yearold_resident_of_the,block,28
calories_g_fat_g_saturated,fat,28
do_not_know_what_to,do,28
for_the_rest_of_the,season,28
had_nothing_to_do_with,the,28
is_free_and_open_to,the,28
only_a_matter_of_time,before,28
the_girl_with_the_dragon,tattoo,28
at_the_start_of_the,season,27
i_am_not_a_fan,of,27
in_the_back_of_my,mind,27
not_respond_to_requests_for,comment,27
on_the_side_of_the,road,27
the_end_of_the_school,year,27
the_late_s_and_early,s,27
at_the_end_of_the,tunnel,26
did_not_respond_to_a,request,26
has_nothing_to_do_with,the,26
i_am_not_sure_if,i,26
i_do_not_know_what,to,26
i_do_not_know_why,i,26
i_will_not_be_able,to,26
this_is_not_to_say,that,26
and_i_am_looking_forward,to,25
and_i_am_not_going,to,25
anyone_with_information_is_asked,to,25
between_a_man_and_a,woman,25
but_i_did_not_want,to,25
calories_calories_from_fat_percent,of,25
calories_from_fat_percent_of,total,25
carbohydrate_g_protein_g_fiber,mg,25
cholesterol_g_carbohydrate_g_protein,g,25
each_and_every_one_of,you,25
fat_percent_of_total_calories,g,25
for_the_first_time_in,the,25
from_fat_percent_of_total,calories,25
g_carbohydrate_g_protein_g,fiber,25
i_do_not_know_what,it,25
i_thought_it_would_be,fun,25
in_the_first_half_of,the,25
it_did_not_take_long,for,25
it_was_going_to_be,a,25
mg_cholesterol_g_carbohydrate_g,protein,25
not_respond_to_a_request,for,25
of_total_calories_g_fat,g,25
percent_of_total_calories_g,fat,25
the_us_fish_and_wildlife,service,25
this_is_one_of_the,most,25
trying_to_figure_out_how,to,25
up_in_the_middle_of,the,25
was_pronounced_dead_at_the,scene,25
a_home_in_the_block,of,24
according_to_the_national_weather,service,24
at_pm_april_in_the,block,24
but_i_do_not_think,it,24
calories_g_fat_g_saturated,g,24
fat_g_saturated_g_trans,fats,24
fats_mg_cholesterol_g_carbohydrate,g,24
for_the_rest_of_the,year,24
g_fat_g_saturated_g,trans,24
g_saturated_g_trans_fats,mg,24
g_trans_fats_mg_cholesterol,g,24
i_am_a_big_fan,of,24
i_do_not_think_i,will,24
in_the_second_half_of,the,24
it_is_going_to_be,a,24
light_at_the_end_of,the,24
off_the_top_of_my,head,24
right_place_at_the_right,time,24
saturated_g_trans_fats_mg,cholesterol,24
the_right_place_at_the,right,24
total_calories_g_fat_g,saturated,24
trans_fats_mg_cholesterol_g,carbohydrate,24
who_spoke_on_condition_of,anonymity,24
a_step_in_the_right,direction,23
am_april_in_the_block,of,23
do_not_have_a_lot,of,23
do_not_think_i_have,ever,23
has_a_lot_to_do,with,23
have_a_long_way_to,go,23
i_am_a_huge_fan,of,23
i_did_not_want_to,be,23
it_had_nothing_to_do,with,23
not_know_about_you_but,i,23
over_and_over_and_over,again,23
the_us_food_and_drug,administration,23
to_be_a_part_of,it,23
to_the_other_side_of,the,23
what_it_means_to_be,a,23
with_salt_and_pepper_to,taste,23
a_couple_of_weeks_ago,i,22
at_the_end_of_the,first,22
cost_damage_attacks_up_to,enemies,22
for_as_long_as_i,can,22
for_the_rest_of_his,life,22
harry_potter_and_the_deathly,hallows,22
i_am_looking_forward_to,the,22
i_do_not_know_what,i,22
i_thought_it_would_be,a,22
i_want_to_be_able,to,22
level_mp_cost_damage_attacks,up,22
mp_cost_damage_attacks_up,to,22
of_million_or_cents_per,share,22
on_the_right_side_of,the,22
paid_cash_for_a_squarefoot,home,22
patient_protection_and_affordable_care,act,22
season_to_taste_with_salt,and,22
th_us_circuit_court_of,appeals,22
to_get_to_the_bottom,of,22
you_are_going_to_have,to,22
all_i_have_to_do,is,21
all_in_all_it_was,a,21
and_i_did_not_want,to,21
as_long_as_i_can,remember,21
at_the_end_of_the,week,21
do_not_know_what_it,is,21
g_fiber_mg_sodium_mg,calcium,21
g_protein_g_carbohydrate_g,sugar,21
i_am_not_going_to,be,21
i_could_go_on_and,on,21
if_you_are_not_familiar,with,21
it_been_a_while_since,i,21
it_turned_out_to_be,a,21
not_wait_to_see_what,you,21
of_plus_or_minus_percentage,points,21
sugar_g_fiber_mg_sodium,mg,21
that_has_nothing_to_do,with,21
the_first_round_of_the,playoffs,21
the_list_goes_on_and,on,21
the_patient_protection_and_affordable,care,21
the_second_year_in_a,row,21
the_th_us_circuit_court,of,21
the_wars_in_iraq_and,afghanistan,21
there_are_a_lot_of,people,21
this_was_the_first_time,i,21
what_it_would_be_like,to,21
you_do_not_want_to,be,21
you_will_not_be_able,to,21
a_lot_of_people_do,not,20
all_i_had_to_do,was,20
and_by_the_end_of,the,20
as_you_can_see_in,the,20
at_the_bottom_of_this,post,20
at_the_end_of_last,year,20
be_sure_to_check_out,the,20
for_the_first_time_this,season,20
for_the_rest_of_the,week,20
g_sugar_g_fiber_mg,sodium,20
i_am_going_to_try,and,20
i_did_not_know_what,to,20
i_do_not_think_i,am,20
i_hope_you_all_had,a,20
in_the_grand_scheme_of,things,20
in_the_late_s_and,early,20
in_the_right_place_at,the,20
is_the_first_time_i,have,20
it_was_the_first_time,i,20
make_the_world_a_better,place,20
on_the_other_end_of,the,20
president_and_chief_executive_officer,of,20
said_in_a_statement_that,the,20
the_end_of_the_day,it,20
the_national_highway_traffic_safety,administration,20
there_will_be_a_lot,of,20
to_figure_out_a_way,to,20
to_taste_with_salt_and,pepper,20
was_the_first_time_i,had,20
a_larceny_was_reported_at,pm,19
a_year_and_a_half,ago,19
am_not_a_big_fan,of,19
are_just_a_few_of,the,19
at_the_beginning_of_the,year,19
at_the_end_of_the,night,19
before_the_end_of_the,year,19
by_the_end_of_the,week,19
carbohydrate_g_sugar_g_fiber,mg,19
cash_for_a_squarefoot_home,with,19
do_not_ask_do_not,tell,19
for_more_information_or_to,register,19
for_the_first_time_in,his,19
former_cuyahoga_county_commissioner_jimmy,dimora,19
g_carbohydrate_g_sugar_g,fiber,19
i_am_not_a_big,fan,19
i_can_not_wait_to,get,19
i_think_we_are_going,to,19
if_you_are_going_to,be,19
in_the_blink_of_an,eye,19
it_is_one_of_the,most,19
it_took_me_a_while,to,19
on_both_sides_of_the,ball,19
potter_and_the_deathly_hallows,part,19
protein_g_carbohydrate_g_sugar,g,19
thank_you_all_so_much,for,19
that_you_do_not_have,to,19
the_wee_hours_of_the,morning,19
there_are_a_lot_of,things,19
this_is_the_first_time,i,19
we_are_going_to_have,a,19
what_am_i_going_to,do,19
what_i_am_going_to,do,19
when_i_was_a_kid,i,19
when_was_the_last_time,you,19
according_to_people_familiar_with,the,18
add_salt_and_pepper_to,taste,18
and_season_with_salt_and,pepper,18
are_rounded_to_the_nearest,whole,18
at_the_top_of_the,list,18
bake_for_to_minutes_or,until,18
for_the_second_year_in,a,18
from_point_a_to_point,b,18
have_a_lot_of_work,to,18
have_accepted_and_allowed_myself,to,18
have_come_to_the_conclusion,that,18
i_do_not_think_i,could,18
i_have_accepted_and_allowed,myself,18
i_knew_i_was_going,to,18
i_really_do_not_want,to,18
i_wanted_to_share_with,you,18
if_i_do_say_so,myself,18
if_you_know_what_i,mean,18
in_every_sense_of_the,word,18
in_the_last_couple_of,years,18
is_one_of_the_most,important,18
know_what_i_am_talking,about,18
on_the_left_side_of,the,18
rounded_to_the_nearest_whole,number,18
so_i_do_not_have,to,18
thanks_so_much_for_stopping,by,18
the_end_of_the_day,we,18
the_free_game_online_paintball,play,18
the_latest_in_a_series,of,18
the_national_register_of_historic,places,18
the_truth_of_the_matter,is,18
the_university_of_medicine_and,dentistry,18
the_us_army_corps_of,engineers,18
the_yield_on_the_year,treasury,18
to_do_with_the_fact,that,18
to_the_nearest_whole_number,calories,18
values_are_rounded_to_the,nearest,18
we_are_going_to_try,to,18
when_i_was_in_high,school,18
a_squarefoot_home_with_pool,built,17
all_i_want_to_do,is,17
and_for_the_first_time,in,17
and_roll_hall_of_fame,and,17
as_far_as_i_can,tell,17
at_the_end_of_this,post,17
but_i_do_not_think,i,17
but_there_are_a_lot,of,17
from_am_to_pm_at,the,17
he_was_a_member_of,the,17
his_first_start_of_the,season,17
i_am_in_the_process,of,17
i_am_not_sure_if,it,17
i_did_not_think_it,was,17
i_do_not_know_how,many,17
i_do_not_want_to,do,17
i_do_not_want_to,say,17
i_dont_know_about_you,but,17
i_fell_in_love_with,the,17
i_have_to_admit_that,i,17
i_would_love_to_hear,from,17
if_you_would_like_to,see,17
in_the_same_period_last,year,17
information_per_serving_values_are,rounded,17
it_has_something_to_do,with,17
it_was_a_bit_of,a,17
it_was_one_of_the,best,17
nearest_whole_number_calories_calories,from,17
number_calories_calories_from_fat,percent,17
nutrition_information_per_serving_values,are,17
of_medicine_and_dentistry_of,new,17
on_the_wrong_side_of,the,17
or_percent_to_the_nasdaq,composite,17
per_serving_values_are_rounded,to,17
serving_values_are_rounded_to,the,17
squarefoot_home_with_pool_built,in,17
the_end_of_the_day,the,17
the_latest_in_a_string,of,17
the_nearest_whole_number_calories,calories,17
there_has_been_a_lot,of,17
those_of_you_who_do,not,17
to_be_a_part_of,this,17
to_be_one_of_the,most,17
to_the_rest_of_the,world,17
university_of_medicine_and_dentistry,of,17
was_reported_in_the_block,of,17
was_the_right_thing_to,do,17
whole_number_calories_calories_from,fat,17
will_be_interesting_to_see,how,17
with_the_securities_and_exchange,commission,17
yield_on_the_year_treasury,note,17
you_do_not_have_to,worry,17
you_have_to_be_able,to,17
a_couple_of_years_ago,and,16
a_couple_of_years_ago,i,16
as_much_as_i_would,like,16
at_am_april_in_the,block,16
at_the_end_of_the,game,16
at_the_end_of_this,month,16
because_he_was_not_authorized,to,16
because_i_do_not_want,to,16
county_jail_in_lieu_of,bail,16
department_of_health_and_senior,services,16
error_of_plus_or_minus,percentage,16
for_a_squarefoot_home_with,pool,16
for_the_rest_of_their,lives,16
for_those_of_you_who,do,16
from_the_bottom_of_my,heart,16
from_the_other_side_of,the,16
hundreds_of_thousands_of_dollars,in,16
i_do_not_even_know,what,16
i_do_not_know_if,that,16
i_do_not_know_if,you,16
i_do_not_know_what,the,16
i_do_not_know_why,it,16
i_do_not_want_to,make,16
i_dont_know_what_to,do,16
i_had_a_lot_of,fun,16
i_know_a_lot_of,people,16
i_spent_a_lot_of,time,16
i_think_it_going_to,be,16
i_will_do_my_best,to,16
if_you_have_any_questions,about,16
if_you_would_like_to,be,16
in_the_san_francisco_bay,area,16
is_no_such_thing_as,a,16
is_the_right_thing_to,do,16
is_what_i_came_up,with,16
leave_a_comment_on_this,post,16
margin_of_error_of_plus,or,16
medicine_and_dentistry_of_new,jersey,16
not_for_the_faint_of,heart,16
of_error_of_plus_or,minus,16
of_the_united_states_of,america,16
on_condition_of_anonymity_because,the,16
on_the_first_day_of,the,16
one_of_my_favorite_things,to,16
or_cents_per_share_in,the,16
per_serving_calories_g_fat,g,16
runs_in_the_bottom_of,the,16
said_in_a_statement_that,it,16
season_with_salt_and_pepper,to,16
serving_calories_g_fat_g,saturated,16
that_i_do_not_want,to,16
that_i_have_accepted_and,allowed,16
the_end_of_the_year,the,16
the_national_oceanic_and_atmospheric,administration,16
they_are_going_to_have,to,16
this_is_a_great_way,to,16
to_do_whatever_it_takes,to,16
was_arrested_in_the_block,of,16
we_do_not_want_to,be,16
what_we_are_going_to,do,16
when_it_comes_down_to,it,16
according_to_a_report_in,the,15
and_i_am_so_excited,to,15
and_i_have_to_say,that,15
and_let_me_know_what,you,15
at_the_end_of_the,school,15
at_the_time_of_the,accident,15
at_the_time_of_the,crash,15
at_the_top_of_the,page,15
at_this_time_of_the,year,15
been_a_long_time_since,i,15
